model_version,best_score,num_benchmarks
o1-2024-12-17_high,0.6026367084393962,3
o1-mini-2024-09-12_high,0.4996950143954389,4
o3-mini-2025-01-31_high,0.4733883694043606,6
gemini-2.0-pro-exp-02-05,0.7455789007903811,2
gemini-2.0-flash-thinking-exp-01-21,0.5742424242424242,2
gemini-2.0-flash-001,0.4022848973640983,5
gpt-4o-2024-11-20,0.2593066849871777,5
phi-4,0.4491546888827855,3
Phi-3-medium-128k-instruct,0.2257440339955445,2
o3-mini-2025-01-31_medium,0.5584218769631938,5
mistral-small-2501,0.3179711261659901,3
qwen2.5-32b-instruct,0.3650586301077237,3
gemini-1.5-flash-001,0.2312803259177881,3
claude-2.0,0.1629497390826696,3
claude-3-opus-20240229,0.2978747698536217,3
o1-mini-2024-09-12_medium,0.4754997216013663,4
gpt-4o-2024-08-06,0.2730515811569176,4
o1-preview-2024-09-12,0.5435776445217533,3
claude-3-sonnet-20240229,0.2042250933300782,3
claude-3-5-sonnet-20241022,0.2723214308764626,6
gpt-4-0125-preview,0.3883996688943819,2
claude-2.1,0.1744949494949494,2
gemma-2-27b-it,0.2192258689615185,3
claude-3-haiku-20240307,0.1766173822820348,3
claude-3-5-sonnet-20240620,0.2421386302866144,6
gpt-4o-2024-05-13,0.3539772091509252,3
gemini-1.5-flash-002,0.3135859158045714,4
gpt-4-0613,0.1824384326650187,3
gemma-2-9b-it,0.163413655690846,3
gpt-3.5-turbo-1106,0.2195982674173761,2
gemini-1.5-pro-001,0.3113939622814245,3
gpt-4-1106-preview,0.4119094075193017,2
gpt-4o-mini-2024-07-18,0.3243315582817093,3
gemini-1.5-pro-002,0.502256133846013,3
gpt-3.5-turbo-0125,0.1940472512130366,2
Llama-3.1-8B-Instruct,0.1710757499465958,3
Llama-3.1-70B-Instruct,0.2816055189355793,3
Llama-3.1-405B-Instruct,0.368036800533024,3
Yi-1.5-34B-Chat,0.2872875278464402,2
Yi-34B-Chat,0.0994327718270316,2
grok-2-1212,0.323812373000765,4
qwen2-72b-instruct,0.3992502441331746,2
qwen1.5-72b-chat,0.2881944444444444,1
qwen1.5-32b-chat,0.307449494949495,1
Hermes-2-Theta-Llama-3-70B,0.2088512262605918,3
Llama-2-70b-chat-hf,0.0987041868839451,3
Meta-Llama-3-70B-Instruct,0.2247406085019377,3
Meta-Llama-3-8B-Instruct,0.1101127717253094,3
Mistral-7B-Instruct-v0.3,0.0939006759437273,2
deepseek-llm-67b-chat,0.1550641421770575,2
Mixtral-8x7B-Instruct-v0.1,0.1993857571180078,2
qwen2.5-72b-instruct,0.4012453334960887,3
WizardLM-2-8x22B,0.3458537413409014,2
dbrx-instruct,0.2227085812810887,2
gemini-1.0-pro-001,0.1544003097439653,3
ministral-3b-2410,0.198486946504318,2
mistral-large-2402,0.2172297623770432,3
open-mixtral-8x22b,0.2915202821263999,2
ministral-8b-2410,0.2104113262534712,2
mistral-large-2407,0.3410350992299633,3
open-mixtral-8x7b,0.1989022589947816,2
open-mistral-7b,0.0845401713509719,2
open-mistral-nemo-2407,0.2036080213006195,2
Llama-3.2-90B-Vision-Instruct,0.2770322179498916,3
Llama-3.1-Tulu-3-70B-DPO,0.3112799063138942,3
Eurus-2-7B-PRIME,0.3390151515151515,1
Llama-3.3-70B-Instruct,0.3139316757707995,3
o1-2024-12-17_medium,0.8116726174127987,3
DeepSeek-V3,0.3473559824729217,4
grok-4-0709,0.4595057346867692,6
gemini-2.5-pro-preview-03-25,0.9556268882175226,1
DeepSeek-V3.1,0.5210420841683366,1
o3-2025-04-16_medium,0.3029196323681846,2
qwen-plus-2025-04-28,0.1486206896551724,2
o4-mini-2025-04-16_medium,0.1854961685823754,3
gpt-5.1-2025-11-13_low,0.4059496347558631,2
claude-opus-4-20250514_27K,0.2424968071519795,3
gemini-2.5-flash-preview-05-20,0.7083333333333334,1
gemini-2.5-flash-preview-04-17,0.7305555555555555,1
fireworks/deepseek-v3p2,0.121,2
gemini-2.5-flash,0.0450547866205305,2
Qwen/Qwen3-235B-A22B-Thinking-2507,0.0424028268551236,2
zai-org/GLM-4.6,0.0297355200945626,2
moonshotai/Kimi-K2-Thinking,0.1070175438596491,2
gpt-5.1-2025-11-13_none,0.0209790209790209,1
o3-2025-04-16_low,0.0972222222222222,1
o4-mini-2025-04-16_low,0.1068965517241379,1
gemini-2.5-deep-think-2025-08-01-webapp,0.1969999999999999,2
gpt-5.2-pro-2025-12-11-webapp,0.292,1
gpt-5-pro-2025-10-06_high,0.125,1
