model_display,contract_mode,prompt_mode,nash_accuracy,utilitarian_accuracy,rawlsian_accuracy,cooperation_rate,avg_utilitarian_payoff,avg_rawlsian_payoff
GPT-5.4,code_law,selfish,0.020 ± 0.061,0.420 ± 0.192,0.420 ± 0.192,1.0 ± 0.1,59.0 ± 35.1,25.1 ± 15.5
GPT-5.4,code_nl,base,0.000 ± 0.000,0.933 ± 0.121,0.933 ± 0.121,1.0 ± 0.0,64.7 ± 38.9,31.1 ± 20.1
GPT-5.4,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
GPT-5.4,code_nl,selfish,0.880 ± 0.201,0.000 ± 0.000,0.000 ± 0.000,0.1 ± 0.2,-22.7 ± 32.7,-16.6 ± 18.4
GPT-5.4,no_comm,base,0.993 ± 0.037,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-24.7 ± 31.8,-13.0 ± 17.0
GPT-5.4,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
GPT-5.4,no_comm,selfish,0.987 ± 0.051,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,-24.4 ± 31.9,-13.3 ± 17.0
GPT-5.4 Mini,code_law,base,0.007 ± 0.037,0.867 ± 0.132,0.867 ± 0.132,1.0 ± 0.0,65.2 ± 39.0,31.5 ± 19.3
GPT-5.4 Mini,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
GPT-5.4 Mini,code_law,selfish,0.040 ± 0.081,0.380 ± 0.212,0.380 ± 0.212,1.0 ± 0.1,57.7 ± 36.8,25.1 ± 16.6
GPT-5.4 Mini,code_nl,base,0.007 ± 0.037,0.980 ± 0.061,0.980 ± 0.061,1.0 ± 0.0,65.2 ± 38.8,32.0 ± 19.3
GPT-5.4 Mini,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
GPT-5.4 Mini,code_nl,selfish,0.080 ± 0.135,0.520 ± 0.266,0.520 ± 0.266,0.9 ± 0.1,50.1 ± 35.5,14.8 ± 21.5
GPT-5.4 Mini,no_comm,base,0.913 ± 0.233,0.020 ± 0.081,0.020 ± 0.081,0.1 ± 0.2,-19.2 ± 34.2,-14.7 ± 18.6
GPT-5.4 Mini,no_comm,cooperative,0.000 ± 0.000,0.987 ± 0.051,0.987 ± 0.051,1.0 ± 0.0,65.9 ± 38.9,32.8 ± 19.7
GPT-5.4 Mini,no_comm,selfish,0.987 ± 0.051,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,-24.4 ± 31.9,-13.3 ± 17.0
Gemma 4 31B,code_law,base,0.000 ± 0.000,0.960 ± 0.081,0.960 ± 0.081,1.0 ± 0.0,65.9 ± 38.6,32.6 ± 19.1
Gemma 4 31B,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Gemma 4 31B,code_law,selfish,0.000 ± 0.000,0.607 ± 0.207,0.607 ± 0.207,1.0 ± 0.0,62.3 ± 36.9,28.3 ± 16.8
Gemma 4 31B,code_nl,base,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Gemma 4 31B,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Gemma 4 31B,code_nl,selfish,1.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-25.1 ± 32.4,-12.6 ± 16.2
Gemma 4 31B,no_comm,base,0.993 ± 0.037,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-25.1 ± 32.5,-12.6 ± 16.1
Gemma 4 31B,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Gemma 4 31B,no_comm,selfish,0.993 ± 0.037,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-24.6 ± 31.6,-12.8 ± 16.6
Grok 4.1 Fast,code_law,base,0.000 ± 0.000,0.800 ± 0.210,0.800 ± 0.210,1.0 ± 0.0,49.8 ± 80.2,23.1 ± 39.6
Grok 4.1 Fast,code_law,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Grok 4.1 Fast,code_law,selfish,0.000 ± 0.000,0.533 ± 0.254,0.533 ± 0.254,1.0 ± 0.0,60.3 ± 38.4,27.2 ± 17.8
Grok 4.1 Fast,code_nl,base,0.120 ± 0.194,0.593 ± 0.249,0.593 ± 0.249,0.9 ± 0.2,37.2 ± 37.5,2.1 ± 26.6
Grok 4.1 Fast,code_nl,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Grok 4.1 Fast,code_nl,selfish,0.960 ± 0.097,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.1,-23.6 ± 31.0,-13.3 ± 17.0
Grok 4.1 Fast,no_comm,base,1.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-25.1 ± 32.4,-12.6 ± 16.2
Grok 4.1 Fast,no_comm,cooperative,0.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,66.1 ± 38.7,33.0 ± 19.4
Grok 4.1 Fast,no_comm,selfish,1.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.0 ± 0.0,-25.1 ± 32.4,-12.6 ± 16.2
