model,lambda,beta
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,6.464777327935222
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,7.485290148448042
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,7.485290148448042
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,8.613225371120107
Gemma 4 31B,0.0,8.613225371120107
Gemma 4 31B,0.053981106612685556,9.794871794871794
Gemma 4 31B,0.0,6.464777327935222
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,8.613225371120107
Gemma 4 31B,0.0,9.44574898785425
Gemma 4 31B,0.0,10.546828609986504
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,7.512145748987853
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,12.695276653171389
Gemma 4 31B,0.0,10.761673414304992
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,7.001889338731443
Gemma 4 31B,0.0,6.464777327935222
Gemma 4 31B,0.0,8.102968960863697
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,7.753846153846153
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,10.358839406207826
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,9.794871794871794
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,9.338326585695006
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.0,10.143994601889338
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.0,9.633738191632927
Gemma 4 31B,0.0,6.7333333333333325
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,5.65910931174089
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.026990553306342778,8.237246963562752
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.24291497975708498,14.602024291497974
Gemma 4 31B,0.0,9.526315789473683
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.0,5.766531713900134
Gemma 4 31B,0.0,5.363697705802968
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.0,7.512145748987853
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,6.464777327935222
Gemma 4 31B,0.0,9.526315789473683
Gemma 4 31B,0.0,9.338326585695006
Gemma 4 31B,0.0,6.223076923076922
Gemma 4 31B,0.0,8.93549257759784
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,7.9955465587044525
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,10.97651821862348
Gemma 4 31B,0.0,8.613225371120107
Gemma 4 31B,0.0,8.42523616734143
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,8.317813765182185
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,5.766531713900134
Gemma 4 31B,0.0,8.42523616734143
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,5.954520917678812
Gemma 4 31B,0.0,10.143994601889338
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,6.491632928475033
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,5.65910931174089
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,6.491632928475033
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,8.613225371120107
Gemma 4 31B,0.0,8.264102564102563
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.08097165991902833,9.284615384615384
Gemma 4 31B,0.0,8.774358974358973
Gemma 4 31B,0.0,7.001889338731443
Gemma 4 31B,0.20242914979757082,20.0
Gemma 4 31B,0.0,9.44574898785425
Gemma 4 31B,0.0,10.97651821862348
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,6.464777327935222
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,6.975033738191632
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,8.102968960863697
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.053981106612685556,10.815384615384614
Gemma 4 31B,0.0,8.42523616734143
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,5.766531713900134
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,13.608367071524965
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,7.001889338731443
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,8.42523616734143
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,8.505802968960863
Gemma 4 31B,0.0,7.9955465587044525
Gemma 4 31B,0.0,5.954520917678812
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,9.123481781376517
Gemma 4 31B,0.0,8.720647773279351
Gemma 4 31B,0.0,7.001889338731443
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,6.491632928475033
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,8.613225371120107
Gemma 4 31B,0.0,6.491632928475033
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,7.082456140350876
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.0,5.65910931174089
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,7.914979757085019
Gemma 4 31B,0.0,11.379352226720647
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,7.485290148448042
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,8.774358974358973
Gemma 4 31B,0.0,8.022402159244264
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,8.102968960863697
Gemma 4 31B,0.0,7.001889338731443
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,9.016059379217273
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.0,7.512145748987853
Gemma 4 31B,0.053981106612685556,10.70796221322537
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,7.753846153846153
Gemma 4 31B,0.0,7.592712550607287
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,5.8739541160593784
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,8.42523616734143
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.0,8.022402159244264
Gemma 4 31B,0.0,6.975033738191632
Gemma 4 31B,0.0,6.223076923076922
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,8.828070175438596
Gemma 4 31B,0.0,7.243589743589743
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,8.210391363022941
Gemma 4 31B,0.0,6.787044534412955
Gemma 4 31B,0.0,5.766531713900134
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,5.551686909581646
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,7.189878542510121
Gemma 4 31B,0.0,7.297300944669365
Gemma 4 31B,0.0,9.230904183535761
Gemma 4 31B,0.0,9.123481781376517
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,7.807557354925775
Gemma 4 31B,0.0,6.7333333333333325
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,6.67962213225371
Gemma 4 31B,0.0,6.276788124156544
Gemma 4 31B,0.0,8.264102564102563
Gemma 4 31B,0.026990553306342778,7.216734143049932
Gemma 4 31B,0.0,6.061943319838056
Gemma 4 31B,0.0,7.753846153846153
Gemma 4 31B,0.0,6.384210526315789
Gemma 4 31B,0.0,7.404723346828609
Gemma 4 31B,0.0,10.143994601889338
Gemma 4 31B,0.0,6.572199730094466
Gemma 4 31B,0.0,6.894466936572199
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.24291497975708498,16.93846153846154
Gemma 4 31B,0.0,8.102968960863697
Gemma 4 31B,0.0,6.1693657219973
Gemma 4 31B,0.0,8.317813765182185
Gemma 4 31B,0.0,5.202564102564102
Gemma 4 31B,0.0,8.264102564102563
Gemma 4 31B,0.0,7.700134952766531
Gemma 4 31B,0.053981106612685556,10.19770580296896
Gemma 4 31B,0.0,8.532658569500674
Gemma 4 31B,0.0,8.93549257759784
Gemma 4 31B,0.0,6.975033738191632
Gemma 4 31B,0.0,6.7333333333333325
Gemma 4 31B,0.0,8.102968960863697
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,5.371120107962213,0.5834008097165991
GPT-4o,5.425101214574898,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,5.06072874493927,0.5834008097165991
GPT-4o,7.786774628879892,0.5834008097165991
GPT-4o,4.912280701754385,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,4.143049932523616,0.5834008097165991
GPT-4o,4.804318488529015,0.5834008097165991
GPT-4o,5.006747638326585,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,5.681511470985154,0.5834008097165991
GPT-4o,3.2793522267206474,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,5.425101214574898,0.5834008097165991
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,8.299595141700403,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.804318488529015,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,5.006747638326585,0.5834008097165991
GPT-4o,10.0,0.1
GPT-4o,5.168690958164642,0.5834008097165991
GPT-4o,10.0,0.1
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.371120107962213,0.5834008097165991
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,6.248313090418353,0.5834008097165991
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,3.0769230769230766,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.209176788124156,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,9.40620782726046,0.1
GPT-4o,3.535762483130904,0.5028340080971659
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.937921727395411,0.5834008097165991
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,6.140350877192982,0.5834008097165991
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.912280701754385,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.089068825910931,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,5.681511470985154,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,10.0,0.1
GPT-4o,3.79217273954116,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,3.225371120107962,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,6.194331983805667,0.5834008097165991
GPT-4o,4.696356275303644,0.5834008097165991
GPT-4o,10.0,0.1
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.519568151147098,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,5.425101214574898,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.3994601889338725,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,5.573549257759783,0.5834008097165991
GPT-4o,5.991902834008097,0.5834008097165991
GPT-4o,5.371120107962213,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,5.681511470985154,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,3.535762483130904,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,5.465587044534413,0.5834008097165991
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,7.058029689608636,0.5834008097165991
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.168690958164642,0.5834008097165991
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,7.58434547908232,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.006747638326585,0.5834008097165991
GPT-4o,5.06072874493927,0.5834008097165991
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,3.535762483130904,0.5028340080971659
GPT-4o,10.0,0.15371120107962213
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,3.2793522267206474,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.897435897435897,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,5.991902834008097,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,3.225371120107962,0.5028340080971659
GPT-4o,9.311740890688258,0.1
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,4.804318488529015,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.06072874493927,0.5834008097165991
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,5.371120107962213,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,9.757085020242915,0.1
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,3.535762483130904,0.5028340080971659
GPT-4o,5.7354925775978405,0.5834008097165991
GPT-4o,10.0,0.1
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,9.23076923076923,0.1
GPT-4o,5.06072874493927,0.5834008097165991
GPT-4o,10.0,0.1
GPT-4o,5.573549257759783,0.5834008097165991
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,6.50472334682861,0.5834008097165991
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,10.0,0.1
GPT-4o,3.643724696356275,1.281646423751687
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,5.168690958164642,0.5834008097165991
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.804318488529015,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.345479082321187,0.5834008097165991
GPT-4o,10.0,0.1
GPT-4o,4.601889338731444,0.5834008097165991
GPT-4o,8.55600539811066,0.5834008097165991
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,5.1147098515519565,0.5834008097165991
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,5.128205128205128,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,4.750337381916329,0.5834008097165991
GPT-4o,5.479082321187584,0.5834008097165991
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.573549257759783,0.5834008097165991
GPT-4o,3.79217273954116,0.5028340080971659
GPT-4o,3.79217273954116,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,4.871794871794871,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.479082321187584,0.5834008097165991
GPT-4o,4.9527665317139,0.5834008097165991
GPT-4o,3.2793522267206474,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,5.263157894736842,0.5834008097165991
GPT-4o,5.425101214574898,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,4.3994601889338725,0.5834008097165991
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,10.0,0.1
GPT-4o,2.7665317139001346,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.519568151147098,0.5834008097165991
GPT-4o,5.1147098515519565,0.5834008097165991
GPT-4o,6.153846153846153,0.5028340080971659
GPT-4o,5.317139001349528,0.5834008097165991
GPT-4o,4.655870445344129,0.5834008097165991
GPT-4o,3.225371120107962,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,5.06072874493927,0.5834008097165991
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.601889338731444,0.5834008097165991
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,5.006747638326585,0.5834008097165991
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,6.80161943319838,0.5834008097165991
GPT-4o,6.342780026990553,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.627530364372469,0.5834008097165991
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,5.371120107962213,0.5834008097165991
GPT-4o,5.384615384615384,0.5028340080971659
GPT-4o,3.5897435897435894,0.5028340080971659
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.358974358974359,0.5028340080971659
GPT-4o,3.225371120107962,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.615384615384615,0.5028340080971659
GPT-4o,9.487179487179485,0.15371120107962213
GPT-4o,5.317139001349528,0.5834008097165991
GPT-4o,3.333333333333333,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,9.487179487179485,0.1
GPT-4o,3.846153846153846,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,4.102564102564102,0.5028340080971659
GPT-4o,5.627530364372469,0.5834008097165991
GPT-5.4 Mini,0.0,3.1615384615384614
GPT-5.4 Mini,0.0,2.141025641025641
GPT-5.4 Mini,0.0,3.107827260458839
GPT-5.4 Mini,0.0,1.1205128205128205
GPT-5.4 Mini,0.0,2.4095816464237516
GPT-5.4 Mini,0.0,2.087314439946019
GPT-5.4 Mini,0.0,2.7049932523616733
GPT-5.4 Mini,0.0,3.0004048582995946
GPT-5.4 Mini,0.0,2.490148448043185
GPT-5.4 Mini,0.0,1.7919028340080971
