model_display,contract_mode,prompt_mode,nash_accuracy,utilitarian_accuracy,rawlsian_accuracy,cooperation_rate,avg_utilitarian_payoff,avg_rawlsian_payoff
Gemma 4 31B,no_comm,selfish,0.560 ± 0.275,0.067 ± 0.132,0.067 ± 0.132,0.5 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,code_law,base,1.000 ± 0.000,0.980 ± 0.110,0.980 ± 0.110,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,code_law,cooperative,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,code_law,selfish,0.980 ± 0.061,0.967 ± 0.076,0.967 ± 0.076,1.0 ± 0.1,-0.1 ± 0.7,-0.3 ± 1.0
Grok 4.1 Fast,code_nl,base,0.820 ± 0.169,0.780 ± 0.212,0.780 ± 0.212,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,code_nl,cooperative,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,code_nl,selfish,0.680 ± 0.207,0.380 ± 0.294,0.380 ± 0.294,0.7 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,no_comm,base,0.827 ± 0.239,0.013 ± 0.051,0.013 ± 0.051,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,no_comm,cooperative,0.920 ± 0.145,0.907 ± 0.146,0.907 ± 0.146,1.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
Grok 4.1 Fast,no_comm,selfish,0.840 ± 0.265,0.013 ± 0.051,0.013 ± 0.051,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
